prior,name,physical meaning,source,units,surrogate,training rows,transformation,inference
1,combisolv_qm,COSMOtherm water response,CombiSolv-QM,kcal mol-1,CHEMELEON D-MPNN,3959,direct,structure surrogate; no simulation
2,abraham_e,excess molar refraction E,SoluteML,Abraham scale,ExtraTrees,8098,direct,structure surrogate; no simulation
3,abraham_s,dipolarity/polarizability S,SoluteML,Abraham scale,ExtraTrees,8098,direct,structure surrogate; no simulation
4,abraham_a,hydrogen-bond acidity A,SoluteML,Abraham scale,ExtraTrees,8098,direct,structure surrogate; no simulation
5,abraham_b,hydrogen-bond basicity B,SoluteML,Abraham scale,ExtraTrees,8098,direct,structure surrogate; no simulation
6,abraham_l,hexadecane-air partition L,SoluteML,Abraham scale,ExtraTrees,8098,direct,structure surrogate; no simulation
7,openff_corrected,explicit-water alchemical response,OpenFF 2.3.0 ASFE,kcal mol-1,ExtraTrees,520,prediction + residual,structure surrogate; no simulation
8,gbn2_corrected,implicit-solvent hydration response,GBn2,kcal mol-1,ExtraTrees,550,prediction + residual,structure surrogate; no simulation
9,smd_water,SMD water response,MolSolv,kcal mol-1,CHEMELEON D-MPNN,350359,direct,structure surrogate; no simulation
10,conf_gas_corr,gas conformer correction,ConfSolv H2O,kcal mol-1,LightGBM,17829,direct,structure surrogate; no simulation
11,conf_solution_corr,solution conformer correction,ConfSolv H2O,kcal mol-1,LightGBM,17829,direct,structure surrogate; no simulation
12,conf_hydration_corr,hydration conformer correction,ConfSolv H2O,kcal mol-1,LightGBM,17829,direct,structure surrogate; no simulation
13,conf_gsolv_sd,conformer solvation-energy spread,ConfSolv H2O,kcal mol-1,LightGBM,17829,direct,structure surrogate; no simulation
14,conf_response_mean,mean conformer solvent response,ConfSolv H2O,kcal mol-1,LightGBM,17829,direct,structure surrogate; no simulation
15,conf_response_sd,conformer response spread,ConfSolv H2O,kcal mol-1,LightGBM,17829,direct,structure surrogate; no simulation
