experiment,hypothesis,physical source,analysis ID,evaluation,MAE (kcal/mol),role in final model,artifact
Matched structure-only,Do response priors add information?,none,A,fixed five-fold OOF,0.3033484655954973,matched control,results/confirmatory/standardized_exclusion_endpoint_predictions.parquet
Empirical/residual block,Do compact empirical axes and corrected responses help?,"Abraham, OpenFF, GBn2",B,fixed five-fold OOF,0.24271149684355184,component,results/confirmatory/standardized_exclusion_endpoint_predictions.parquet
Computation core,Do raw computed responses help?,"CombiSolv-QM, OpenFF, GBn2",C,fixed five-fold OOF,0.25267977086834753,component,results/confirmatory/standardized_exclusion_endpoint_predictions.parquet
SMD water,Does water-specific continuum response transfer?,MolSolv SMD,D,fixed five-fold OOF,0.2531149568445899,component,results/confirmatory/standardized_exclusion_endpoint_predictions.parquet
ConfSolv,Do conformational response summaries transfer?,ConfSolv H2O,E,fixed five-fold OOF,0.2989909179660747,component,results/confirmatory/standardized_exclusion_endpoint_predictions.parquet
Full SolvAI,Do aligned response priors improve the matched endpoint?,15 priors,F,fixed five-fold OOF,0.20223406721910991,final model,results/confirmatory/standardized_exclusion_endpoint_predictions.parquet
Shuffled priors,Does molecule-response alignment matter?,15 permuted priors,negative control,five permutations × six partitions,,evaluation only,results/confirmatory/standardized_exclusion_endpoint_shuffle_predictions.parquet
Zero-ARROW transfer,Do priors help without ARROW endpoint labels?,15 priors,transfer control,all 85 as test,0.25694059186637636,evaluation only,results/confirmatory/standardized_exclusion_endpoint_predictions.parquet
ARROW weight-one sensitivity,Does the response advantage depend on threefold weighting of ARROW training rows?,15 priors,prospective sensitivity,fixed five-fold OOF; ARROW weight 1,0.20641749455337713,evaluation only,results/michael_30aug_sensitivity/weight1_predictions.parquet
Tier-A endpoint-disjoint external cohort,Does the matched response advantage transfer beyond ARROW-85?,15 priors,prospective external validation,external endpoint-disjoint; n=220,1.152554228782572,evaluation only,results/tier_a_external/evaluation/tier_a_external_predictions.parquet
Tier-A strict response-source-disjoint subset,Does the matched response advantage survive removal of teacher-source identities?,15 priors,prospective external validation,external source-disjoint; n=97,1.5355951977058884,evaluation only,results/tier_a_external/evaluation/tier_a_external_predictions.parquet
global_butina_0_70,Does the prior advantage survive global chemical separation?,15 priors,separation control,global_butina_0_70,0.2157005113160082,evaluation only,results/confirmatory/standardized_exclusion_global_separation_predictions.parquet
global_family,Does the prior advantage survive global chemical separation?,15 priors,separation control,global_family,0.4677933152583255,evaluation only,results/confirmatory/standardized_exclusion_global_separation_predictions.parquet
global_nn_0.50,Does the prior advantage survive global chemical separation?,15 priors,separation control,global_nn_0.50,0.2186971786544248,evaluation only,results/confirmatory/standardized_exclusion_global_separation_predictions.parquet
global_nn_0.60,Does the prior advantage survive global chemical separation?,15 priors,separation control,global_nn_0.60,0.21139657261386036,evaluation only,results/confirmatory/standardized_exclusion_global_separation_predictions.parquet
global_nn_0.70,Does the prior advantage survive global chemical separation?,15 priors,separation control,global_nn_0.70,0.2109972548760245,evaluation only,results/confirmatory/standardized_exclusion_global_separation_predictions.parquet
global_nn_0.80,Does the prior advantage survive global chemical separation?,15 priors,separation control,global_nn_0.80,0.20951534420323698,evaluation only,results/confirmatory/standardized_exclusion_global_separation_predictions.parquet
global_scaffold,Does the prior advantage survive global chemical separation?,15 priors,separation control,global_scaffold,0.3761935493360304,evaluation only,results/confirmatory/standardized_exclusion_global_separation_predictions.parquet
matched one seed base,Can an alternative physical representation improve transfer?,matched_one_seed_base,exploratory,campaign OOF screen,0.1919131084189228,not retained,results/ablations/
openfe diagnostics,Can an alternative physical representation improve transfer?,openfe_diagnostics,exploratory,campaign OOF screen,0.2057451966230934,not retained,results/ablations/
mlff hierarchy,Can an alternative physical representation improve transfer?,mlff_hierarchy,exploratory,campaign OOF screen,0.2010876031746034,not retained,results/ablations/
des370k water response,Can an alternative physical representation improve transfer?,des370k_water_response,exploratory,campaign OOF screen,0.2099278784936193,not retained,results/ablations/
Multi-lambda physics distillation A: structure/response baseline,Can predicted lambda response improve the endpoint?,PIMD2 response,exploratory,matched OOF,0.1959185120707542,not retained,results/ablations/multilambda_metrics.csv
Multi-lambda physics distillation B2: +distilled PIMD2 lambda response,Can predicted lambda response improve the endpoint?,PIMD2 response,exploratory,matched OOF,0.2013553142753398,not retained,results/ablations/multilambda_metrics.csv
Multi-lambda physics distillation B1: +distilled classical-NQE-PIMD hierarchy,Can predicted lambda response improve the endpoint?,PIMD2 response,exploratory,matched OOF,0.2147409688945948,not retained,results/ablations/multilambda_metrics.csv
Multi-lambda physics distillation B: +full distilled physics hierarchy,Can predicted lambda response improve the endpoint?,PIMD2 response,exploratory,matched OOF,0.2190051043287684,not retained,results/ablations/multilambda_metrics.csv
Multi-lambda physics distillation C: integrated predicted dH/dlambda (affine calibration),Can predicted lambda response improve the endpoint?,PIMD2 response,exploratory,matched OOF,1.5135628873460432,not retained,results/ablations/multilambda_metrics.csv
